('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892134 function calls (870946 primitive calls) in 1.824 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     20/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.172    0.172 __init__.py:211(__init__)
      262    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      285    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.004    0.001 gzip.py:521(read)
       11    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
      158    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      106    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      102    0.000    0.000    0.000    0.000 enum.py:199(__get__)
    40/31    0.000    0.000    0.007    0.000 css_parser.py:746(parse_pseudo_open)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      127    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      151    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      305    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      169    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      290    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 inspect.py:2383(_signature_from_function)
    18/11    0.000    0.000    0.069    0.006 {built-in method builtins.__import__}
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        4    0.000    0.000    0.000    0.000 filter.py:378(__init__)
      128    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      276    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        6    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
       50    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 ssl.py:1252(sendall)
      145    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      198    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.200    0.200 financial_enhanced.py:8(find)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
        6    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
      145    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.005    0.005 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.073    0.073 ssl.py:990(_create)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
        6    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        4    0.000    0.000    0.028    0.007 element.py:1266(_find_all)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
      182    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      296    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
