('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         998852 function calls (974113 primitive calls) in 7.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       67    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
    88/42    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      228    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      428    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      270    0.000    0.000    0.005    0.000 response.py:619(_decode)
      700    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      818    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      328    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
     1301    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1301    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      196    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      102    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
      313    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      320    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
      532    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      200    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      700    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      539    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       51    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       60    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       55    0.000    0.000    1.077    0.020 {method 'readline' of '_io.BufferedReader' objects}
      209    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      137    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      353    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:1(<module>)
      352    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.002    0.002 gzip.py:1(<module>)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       23    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
      345    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
        3    0.000    0.000    0.011    0.004 utils.py:1(<module>)
      354    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      251    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      142    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      170    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       14    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       59    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      271    0.000    0.000    0.084    0.000 __init__.py:287(compile)
      170    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
